id,K,Short description,Type 1,Type 2,Material,height,width,length,depth,diameter,remarks,Condition,Datation,Remarks on datation,Date of discovery (DD/MM/YYYY),Conservation
0,K 2,"Block statue of Ḥr, son of Nsr-Jmn and Ḏd-Mwt-jw.s-ʿnḫ. Cairo CG 42226",Statue,Block statue," ""Grey"" granite",110,51.5,,70.5,,JE: 100 / CG: 110,Complete, T.I.P. 23rd dyn. Pedubastis I,,6/1/1904,
1,K 10,"Block statue of Jʿḥ-ms, son of Pȝ-ḫȝr-Ḫnsw and Ȝst-m-Ȝḫ-bjt. Alexandria, National Museum 116 (= Cairo JE 36579)",Statue,Block statue,"""Black"" Granite",70.5,31,,41,,"Hauteur JE: 70
Jansen-Winkeln:2001 Largeur et Profondeur du socle",Complete, Ptolemaic Period Ptolemies,,26/12/1903,
2,K 16,Naophorous block statue of Wn-nfr with figure of Ptah. Cairo CG 42170,Statue,Naophorous block statue (Ptah),"""Black"" Granite",46,,,,,,Almost complete, New Kingdom 19th dyn. Ramesses II,,8/2/1904,
3,K 17,"Naophorous block statue of Ḫʿy, son of Hȝjȝ and Ddt-Nwbt(?), with figure of Amun. Cairo CG 42166",Statue,Naophorous block statue (Amun),Calcite,41,,,,,"Hauteur : JE: 42/CLES 1/511: ca. 41
",Almost complete, New Kingdom 19th dyn. Ramesses II,,26/12/1903,
4,K 18,Block statue of Sȝ-rȝy (Siroï). Cairo CG 42167,Statue,Block statue," ""Grey"" granite",40,,,,,JE: 42,Almost complete, New Kingdom 19th dyn. Ramesses II,,26/12/1903,
5,K 20,"Block statue of Jmn-ms, son of Ṯȝw-n-ȝny. Cairo JE 36654",Statue,Block statue,"""Black"" Granite",46,,,,,"De Meulenaere, De Strooper:1998 : 45",Complete, New Kingdom 20th dyn. Ramesses VI-Ramesses IX,,6/2/1904,
6,K 21,"Block statue of Ḏd-Mwt-jw.f-ʿnḫ, son of Ḥr [and Jtȝwy]. Cairo CG 42220",Statue,Block statue," ""Grey"" granite",47,23,,32,,CG: 46,Almost complete, T.I.P. 22nd dyn. Osorkon II,,6/2/1904,
7,K 24,"Block statue of Hr.s-n.f, son of Jry-jry and Ns-Ḥr-pȝ-Rʿ. Cairo JE 36663",Statue,Block statue,"""Black"" Granite",55.6,,,,,JE: H 56,Almost complete, Late Period-Ptolemaic Period,,5/2/1904,
8,K 39,"Naophorous block statue of Bȝk-n-Ḫnsw son of Jmn-m-jpt [and of Bȝkt-Mwt], with figure of Amun. Cairo CG 42159",Statue,Naophorous block statue (Amun),Sandstone,80,,,,,JE: 100!,Broken (upper part missing), New Kingdom 20th dyn. Setnakht - Ramesses III,,15/2/1904,
9,K 40,Block statue of Rȝmʿ-Rȝy (Romê-Roy). Cairo CG 42186,Statue,Block statue," ""Grey"" granite",97,47,,65,,"JE: 94
CG: 108",, New Kingdom 19th dyn. Merenptah,,15/2/1904,
10,K 42,"Block statue of Ns-nȝ-ḫȝtyw, son of Šmy-Jn, with figure of Osiris. Cairo JE 36736",Statue,Block statue with figure of deity (Osiris),"""Black"" Granite",23,,,,,,Broken (head missing), Ptolemaic Period,,17/2/1904 (H.C.?),
11,K 48,"Block statue of Ḥr-ȝḫ-bjt, called Jry-jry, son of Jmn-m-Jpt. Cairo JE 37202 (= CG 42278*)",Statue,Block statue,Limestone,28.8,14.4,,22.2,,JE: 28,, T.I.P. trans. 22nd-23rd-25th dyn.,,20/2/1904,
12,K 52,"Block statue of Ḏd-Ḥr, son of Pȝ-hb / Wsjr-wr and T...(?). Cairo JE 36668 (statue) + 36669 (pedestal)",Statue,Block statue,Limestone,27,,,27,,,, Late Period,,20/2/1904,
13,K 56,"Block statue of Pȝ-dj-Ḥr-pȝ-Rʿ, son of Ḥr and ...?. Cairo JE 36734",Statue,Block statue,"""Black"" Granite",35,,,,,,, Ptolemaic Period Ptolemies,,20/2/1904,
14,K 57,"Block statue of Ḥr, son of [Ns?]-pȝ-mdw and Kky. Cairo JE 36741",Statue,Block statue,Limestone,31,,,,,,, Ptolemaic Period Ptolemies,,20/2/1904,
15,K 59,"Naophorous block statue of Wsr-ḥȝt, with figure of Amun. Cairo CG 42181",Statue,Naophorous block statue (Amun)," ""Grey"" granite",50,26.5,,32,,"JE: 51
CG: 50",, New Kingdom 20th dyn.,,20/2/1904,
16,K 64,"Block statue of ʿnḫ.f-n-Ḫnsw, son of Ns-pȝ-ḥr-n-tȝ-ḥȝt. Cairo JE 36926 (= CG 42266*)",Statue,Block statue,"""Black"" Granite",63,41,,50,,Hauteur corrigée au JE : 63 par R[eginald] E[ngelbach] sur ancienne probablement: 83(?) La statue est-elle entrée entière au Musée ?,Broken (head missing), T.I.P. 22nd dyn.,,29/2/1904,
17,K 99,"Block statue of Ns-pȝ-qȝ-šwty, son of Ḏd-Ḏḥwty-jw.f-ʿnḫ. Luxor, Egyptian Museum J.152 (= Cairo CG 42232)",Statue,Block statue,Hard crystalline limestone,72.5,34.5,,51.5,,"JE: 73 / CG: 75
———
Brandl:2008
H. décors face	30
H. décors g.	22.5
H. décors dr.	23.5",Almost complete, T.I.P. 22nd dyn. Shoshenq III,,5/2/1904,
18,K 67,"Block statue of Pȝ-dj-Ȝst, called Jrt-Ḥr-r.w, son of ʿnḫ-wsr(k)n and Ȝy. Cairo CG 48648",Statue,Block statue,Greywacke,29,,,,,,, Late Period 26th dyn.,,29/2/1904,
19,K 69,"Block statue of ʿnḫ-pȝ-ẖrd, son of Pȝ-dj-nfr-ḥtp and Ns-nṯrt-[...]. Cairo JE 36735",Statue,Block statue,"""Black"" Granite",34,,,,,,, Late Period,,29/2/1904,
20,K 70,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Ns-pȝ-nfr-ḥr. Cairo JE 36742 (= CG 42268*)",Statue,Block statue,Limestone,21,,,,,Brandl:2008 = JE,, T.I.P. 22nd dyn. Osorkon I,,29/2/1904,
21,K 71,"Block statue of Pȝ-ḫȝr-Ḫnsw, son of Ns-bȝ-nb-Ḏd and Tȝ-prt. Cairo JE 36747",Statue,Block statue,Steatite,33,13.5,,16.5,,,, Ptolemaic Period,,29/2/1904,
22,K 81,"Block statue of Ḥr (III), son of Nsr-Jmn. Cairo CG 42230",Statue,Block statue,"""Black"" Granite",70,31,,43.5,,"CG: 70

———
Brandl:2008
H. BP			51.2
l. BP			8.2
Pr. BP (haut)	1.2",Complete, T.I.P. 22nd dyn. Takelot II,,3/3/1904,
23,K 91,"Block statue of Pȝ-šrj-tȝ-jht, son of Nḫt-Mnṯw and Kky. Cairo JE 36738",Statue,Block statue,"""Black"" Granite",21,,,,,,, Ptolemaic Period,,4/3/1904,
24,K 103,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Pȝ-mj and Ḏd-Mwt-jw.s-ʿnḫ. Cairo JE 36733",Statue,Block statue," ""Grey"" granite",29.3,13.8,,19.5,,JE: H. 30,Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,10/3/1904,
25,K 104,"Block statue of Ḏd-Jmn-jw.f-ʿnḫ, son of Nb-nṯrw. Cairo JE 36732",Statue,Block statue,"""Black"" Granite",30,,,,,,, Late Period 26th dyn.,,10/3/1904,
26,K 108,"Block statue of Pȝ-nḥsy, [son of Pȝ-mj]. Cairo JE 36739",Statue,Block statue,"""Black"" Granite",19,,,,,,Complete, T.I.P. 25th dyn.,,11/3/1904,
27,K 110,"Block statue of Pȝ-dj-nfr-ḥtp, son of Pȝ-dj-Jmn-Jpt and Ṯy...? Cairo JE 36740",Statue,Block statue,Limestone,41,,,,,,, Ptolemaic Period,,11/3/1904,
28,K 113,"Block statue of Jmn-ms, son of P(ȝ)-n-Ḏrty and Mwt-m-jnt, with figure of Sobek-Re. Cairo CG 42169",Statue,Block statue with figure of deity (Sobek-Re),Limestone,52,,,,,JE: 58,Almost complete, New Kingdom 19th dyn. Ramesses II,,12/3/1904,
29,K 121,"Block statue of Nḏm, son of Qny-nȝ. Beni Suef, Beni Suef Museum, unknown number (= Cairo JE 36905)",Statue,Block statue,"""Black"" Granite",70,32,,45,,JE: 69,, New Kingdom 19th-20th dyn.,,23/3/1904,
30,K 122,"Block statue of Nsr-Jmn, son of Ḥr and Jtȝwy. Cairo CG 42221",Statue,Block statue,Hard crystalline limestone,60,24.5,,43.5,,"CG: 60
———
Brandl:2008
H. relief avant		20.5/max. 21

———
Vérification du 28/01/2009
H.	59.5		H. base	12
l.	24.5		l. max	25.5		l. BP	16
Pr.	43.5",, T.I.P. 22nd dyn. Osorkon II-Takelot II,,23/3/1904,
31,K 124,Block statue of Rȝmʿ-Rȝy (Romê-Roy). Cairo CG 42185,Statue,Block statue,Hard crystalline limestone,102,45.5,,62,,CG: 105,Almost complete, New Kingdom 19th dyn. Merenptah,,26/3/1904,
32,K 126,Block statue of Sn-n-mwt holding princess Neferure. Cairo CG 42115,Statue,Block statue holding a child,"""Pink"" granite",143,73,,77,,CG: 140,, New Kingdom 18th dyn. Hatshepsut,,26/3/1904,
33,K 127,"Block statue of Ḥr-sȝ-Ȝst, son of Nḫt.f-mwt (A). Cairo CG 42210",Statue,Block statue,Calcite,54.5,23.5,,32.5,,"JE: 55 / CG: 57
———
Vérification du 28/01/2009
H.	56	H. base	10	H. marche	11
l.	24.5	l. base	23	l. BP		15
Pr.	33",Almost complete, T.I.P. 22nd dyn. Takelot II,,30/3/1904,
